t (s),V (mV)
0,4.59532
1.05,4.57951
2.072,4.5682
3.071,4.55636
4.071,4.5456
5.071,4.53468
6.072,4.52278
7.071,4.51277
8.071,4.50151
9.071,4.49082
10.211,4.47748
11.071,4.46889
12.071,4.45787
13.072,4.4469
14.071,4.43681
15.071,4.4256
16.071,4.41527
17.071,4.40502
18.071,4.39404
19.071,4.38356
20.072,4.37363
21.071,4.36373
22.211,4.35141
23.071,4.34279
24.071,4.33226
25.072,4.3219
26.071,4.31131
27.071,4.30153
28.071,4.29103
29.072,4.28099
30.071,4.27001
31.071,4.26002
32.071,4.25025
33.072,4.23978
34.211,4.2288
35.071,4.2194
36.071,4.21021
37.07,4.20025
38.071,4.19037
39.071,4.18053
40.071,4.17085
41.071,4.16141
42.071,4.15149
43.071,4.14177
44.071,4.13194
45.071,4.1223
46.212,4.1119
47.071,4.104
48.071,4.09443
49.072,4.08388
50.071,4.07454
51.071,4.06443
52.071,4.05544
53.072,4.0463
54.072,4.03721
55.071,4.02794
56.071,4.01927
57.071,4.00924
58.211,3.99905
59.071,3.99327
60.071,3.984
61.071,3.9743
62.072,3.96533
63.072,3.95612
64.071,3.94743
65.071,3.9382
66.071,3.9288
67.071,3.9202
68.072,3.91136
69.072,3.90227
70.212,3.89194
71.071,3.88413
72.071,3.87529
73.071,3.86624
74.072,3.85674
75.072,3.84853
76.071,3.83966
77.071,3.83094
78.071,3.82145
79.071,3.81299
80.071,3.80413
81.072,3.79509
82.212,3.78483
83.071,3.77732
84.071,3.7691
85.071,3.76041
86.072,3.75134
87.071,3.74269
88.071,3.73439
89.071,3.72541
90.071,3.71692
91.071,3.70928
92.072,3.70077
93.072,3.69275
94.212,3.6833
95.071,3.67671
96.071,3.66808
97.071,3.65981
98.071,3.65138
99.072,3.64346
100.071,3.63558
101.071,3.62709
102.071,3.61915
103.071,3.61052
104.071,3.60233
105.071,3.59512
106.212,3.58588
107.071,3.5792
108.071,3.57132
109.071,3.56252
110.071,3.5548
111.072,3.54677
112.072,3.53854
113.071,3.53033
114.071,3.52232
115.071,3.51402
116.071,3.50632
117.071,3.49825
118.212,3.48951
119.071,3.48257
120.071,3.47451
121.071,3.46835
122.071,3.46043
123.072,3.45164
124.071,3.44519
125.071,3.4385
126.071,3.43031
127.071,3.42253
128.071,3.41585
129.072,3.40789
130.212,3.39923
131.071,3.39225
132.071,3.38524
133.071,3.37667
134.071,3.36919
135.072,3.36161
136.072,3.35421
137.071,3.34704
138.071,3.33901
139.071,3.33228
140.071,3.3248
141.071,3.31755
142.211,3.30971
143.071,3.30303
144.071,3.2961
145.071,3.28871
146.071,3.28147
147.071,3.27533
148.071,3.26758
149.071,3.26221
150.072,3.25397
151.071,3.24863
152.071,3.24203
153.071,3.23364
154.211,3.22333
155.071,3.21771
156.071,3.20789
157.071,3.20265
158.071,3.1958
159.071,3.18848
160.071,3.18288
161.071,3.17614
162.071,3.16977
163.071,3.16208
164.071,3.15523
165.071,3.14846
166.211,3.14098
167.071,3.1349
168.071,3.12886
169.071,3.12169
170.071,3.11511
171.071,3.10796
172.071,3.10193
173.071,3.09564
174.071,3.089
175.071,3.08241
176.071,3.07635
177.071,3.06983
178.212,3.06209
179.072,3.05635
180.071,3.05076
181.071,3.04482
182.071,3.03862
183.071,3.03385
184.071,3.02819
185.071,3.02191
186.071,3.01602
187.071,3.00945
188.071,3.00364
189.071,2.9967
190.211,2.98991
