t (s),V (mV)
0,7.22026
1.051,7.20524
2.1,7.19107
3.15,7.17959
4.16,7.16982
5.161,7.1613
6.16,7.15199
7.16,7.14402
8.3,7.13468
9.16,7.12717
10.161,7.11913
11.16,7.10998
12.16,7.10164
13.161,7.09224
14.16,7.08361
15.16,7.0741
16.16,7.06472
17.161,7.05454
18.16,7.04611
19.16,7.03515
20.3,7.02467
21.16,7.01631
22.16,7.00666
23.16,6.99713
24.16,6.98735
25.16,6.97718
26.161,6.96633
27.16,6.95805
28.16,6.94727
29.16,6.93827
30.16,6.92796
31.16,6.91841
32.3,6.90747
33.161,6.89964
34.16,6.88971
35.16,6.87993
36.161,6.87004
37.16,6.86009
38.16,6.85062
39.16,6.84129
40.16,6.83102
41.16,6.82168
42.161,6.81137
43.16,6.80209
44.3,6.79085
45.16,6.78285
46.16,6.77365
47.16,6.76462
48.161,6.75518
49.16,6.74554
50.16,6.73645
51.161,6.72584
52.16,6.71714
53.16,6.70737
54.161,6.69817
55.16,6.68884
56.3,6.67809
57.16,6.67024
58.16,6.66103
59.16,6.65173
60.159,6.64243
61.16,6.63297
62.16,6.62362
63.16,6.61374
64.16,6.60559
65.161,6.59518
66.16,6.58715
67.16,6.57679
68.3,6.56601
69.16,6.55795
70.16,6.54808
71.16,6.53904
72.161,6.53023
73.16,6.52168
74.16,6.51264
75.16,6.50334
76.16,6.49412
77.16,6.48498
78.161,6.47567
79.16,6.46689
80.3,6.45623
81.16,6.44876
82.16,6.4402
83.16,6.43074
84.16,6.42215
85.16,6.41266
86.16,6.4036
87.16,6.39503
88.161,6.38596
89.16,6.37703
90.16,6.36805
91.161,6.35949
92.3,6.34964
93.16,6.3419
94.16,6.33325
95.16,6.32464
96.16,6.31512
97.16,6.30725
98.16,6.29789
99.161,6.28976
100.16,6.28084
101.16,6.27233
102.161,6.26325
103.16,6.25483
104.3,6.24567
105.16,6.2378
106.16,6.22928
107.16,6.22055
108.16,6.21205
109.16,6.20357
110.16,6.1948
111.161,6.18635
112.16,6.17738
113.16,6.16955
114.161,6.15916
115.16,6.15104
116.3,6.14115
117.16,6.13569
118.16,6.12662
119.16,6.12106
120.16,6.11272
121.161,6.10468
122.16,6.09659
123.16,6.08833
124.16,6.07969
125.16,6.07113
126.16,6.06255
127.16,6.05458
128.3,6.04501
129.161,6.03796
130.16,6.03031
131.16,6.02204
132.16,6.01423
133.16,6.00651
134.16,5.99757
135.16,5.98973
136.16,5.9821
137.16,5.97362
138.161,5.96563
139.16,5.95811
140.3,5.94878
141.16,5.94212
142.16,5.93346
143.16,5.92594
144.16,5.91745
145.16,5.91023
146.161,5.90207
147.16,5.89431
148.16,5.88661
149.161,5.87851
150.16,5.87085
151.16,5.86308
152.3,5.85388
153.16,5.84744
154.16,5.83917
155.161,5.83152
156.16,5.8242
157.16,5.81603
158.161,5.80783
159.16,5.80077
160.161,5.79293
161.16,5.78563
162.16,5.77753
163.161,5.77065
164.3,5.76108
165.16,5.7545
166.16,5.74682
167.16,5.73919
168.16,5.73047
169.16,5.72296
170.161,5.71518
171.16,5.70751
172.16,5.6995
173.16,5.6922
174.16,5.68465
175.161,5.67646
176.3,5.66822
177.16,5.66189
178.16,5.65451
179.16,5.64754
180.16,5.64027
181.161,5.63258
182.16,5.62523
183.16,5.61747
184.16,5.60998
185.16,5.60248
186.16,5.59509
187.16,5.58738
188.299,5.57764
189.16,5.57138
190.16,5.56376
191.16,5.55623
192.16,5.54932
193.16,5.54153
194.16,5.53507
195.16,5.52811
196.161,5.52077
197.16,5.51595
198.161,5.50855
199.16,5.50102
200.3,5.49325
201.16,5.48669
202.16,5.47928
203.161,5.47346
204.16,5.46471
205.16,5.45734
206.161,5.45033
207.16,5.44369
208.161,5.43641
209.16,5.42916
210.16,5.42147
211.16,5.41444
212.299,5.40688
213.16,5.40066
214.16,5.39311
215.161,5.38634
216.16,5.37876
217.161,5.37132
218.16,5.36414
219.16,5.35721
220.161,5.3497
221.16,5.34307
222.16,5.33599
223.16,5.32889
224.299,5.32067
225.16,5.31405
226.16,5.30713
227.16,5.30042
228.16,5.29294
229.16,5.28655
230.16,5.27905
231.16,5.2726
232.161,5.26609
233.16,5.25901
234.16,5.25197
235.16,5.24489
236.3,5.23744
237.16,5.23176
238.161,5.22514
239.16,5.21803
240.16,5.21246
241.16,5.20582
242.16,5.19846
243.16,5.19151
244.16,5.18485
245.161,5.18003
246.16,5.17262
247.161,5.16953
248.301,5.16269
249.16,5.15674
250.16,5.15071
251.161,5.14241
252.16,5.13534
253.161,5.12791
254.16,5.12173
255.16,5.11533
256.16,5.10883
257.16,5.10067
258.16,5.09462
259.16,5.08857
260.301,5.08177
261.16,5.07585
262.16,5.06944
263.16,5.0626
264.16,5.05576
265.16,5.04898
266.16,5.04251
267.16,5.03637
268.16,5.02808
269.161,5.02168
270.16,5.01533
271.161,5.00855
272.301,5.00099
273.16,4.9965
274.16,4.98984
275.161,4.98465
276.16,4.97847
277.161,4.97204
278.16,4.96574
279.16,4.96054
280.16,4.95373
281.16,4.94808
282.161,4.9418
283.16,4.93645
284.301,4.92865
285.16,4.92333
286.16,4.91702
287.16,4.91092
288.16,4.90539
289.161,4.8996
290.16,4.89331
291.16,4.88692
292.16,4.88444
293.16,4.87417
294.161,4.8685
295.16,4.86196
296.301,4.85561
297.16,4.84973
298.16,4.84428
299.161,4.84045
300.16,4.83343
301.161,4.82921
302.16,4.82241
303.161,4.8177
304.16,4.81143
305.16,4.80533
306.16,4.79957
307.16,4.79349
308.3,4.78648
309.16,4.78048
310.161,4.77384
311.16,4.76849
312.16,4.76201
313.16,4.75589
314.16,4.74944
