t (s),V (mV)
0,3.96598
1,3.95934
2,3.95326
3,3.94615
4,3.9397
5,3.93269
6,3.92627
7,3.91918
8,3.9119
9,3.90485
10,3.89796
11.14,3.8902
12,3.88409
13,3.87742
14,3.87046
15,3.86344
16,3.85638
17,3.84897
18,3.8417
19,3.83528
20,3.82771
21,3.82034
22,3.81381
23.14,3.8059
24,3.80029
25,3.79318
26,3.78574
27,3.77924
28,3.77225
29,3.76502
30,3.75827
31,3.75146
32,3.74424
33.001,3.73728
34.001,3.73023
35.14,3.72196
36,3.71633
37,3.70961
38,3.70164
39,3.69564
40,3.68872
41,3.68219
42,3.67452
43,3.66821
44,3.66061
45,3.65461
46,3.64736
47.14,3.63921
48,3.63349
49,3.62671
50,3.61971
51,3.61311
52,3.60662
53,3.59944
54,3.59318
55,3.58674
56,3.57968
57,3.57313
58,3.56587
59.14,3.55877
60,3.55255
61,3.54631
62,3.54006
63.001,3.53375
64.001,3.52657
65.001,3.51985
66.001,3.51322
67.001,3.50676
68,3.50005
69,3.49419
70,3.48755
71.14,3.48048
72,3.47526
73,3.46866
74,3.46377
75,3.45677
76.001,3.45118
77.001,3.44454
78,3.43851
79,3.43237
80,3.42615
81,3.4196
82,3.41345
83.14,3.4064
84,3.40109
85,3.39469
86,3.38856
87,3.38231
87.999,3.37626
89.001,3.36981
90,3.36385
91,3.35765
92,3.35174
93,3.34614
94,3.34062
95.14,3.33399
96,3.32898
97,3.32334
98,3.31686
99.001,3.31135
100,3.30557
101,3.30047
102,3.29354
103,3.28873
104,3.283
105,3.27733
106,3.27125
107.14,3.26398
108,3.25988
109.001,3.25314
110,3.24699
111,3.24184
112,3.23602
113.001,3.22965
114.001,3.22377
115,3.21831
116,3.21251
117,3.20598
118,3.19985
119.141,3.19456
120.001,3.18918
121.001,3.18354
122.001,3.17845
123.001,3.17218
124.001,3.16644
125.001,3.15937
126,3.15516
127,3.14845
128,3.14146
129,3.13574
130,3.12849
131.14,3.1231
132,3.11888
133.001,3.11427
134.001,3.10862
135.001,3.10382
136,3.0989
137,3.09311
138,3.08756
139,3.08262
140,3.07692
141,3.07258
142,3.06686
143.14,3.06062
144,3.05702
145,3.05162
146.001,3.0455
147.001,3.03981
148.001,3.03521
149.001,3.02994
150,3.02469
151,3.0199
152,3.0141
153,3.00922
154,3.00417
155.141,2.99865
156.001,2.99526
157.001,2.99123
158,2.98614
159,2.98017
160,2.97668
161,2.97045
162,2.96545
163,2.95896
164.001,2.95377
165.001,2.94822
166,2.9437
167.14,2.93763
168.001,2.9328
169.001,2.92726
170,2.92215
171,2.91675
172,2.91108
173,2.90652
174.001,2.90156
175.001,2.89622
176,2.89088
177,2.88604
178,2.88138
179.14,2.87557
180,2.87114
181.001,2.86512
182,2.8606
183,2.85531
184,2.84996
185,2.84508
186.001,2.83955
187.001,2.83467
188,2.83068
189,2.82577
190,2.81945
191.141,2.81462
192.001,2.81082
193.001,2.80588
194,2.80098
195,2.79656
196,2.79179
197,2.78762
198.001,2.78232
199,2.77827
200,2.77345
201,2.76875
202.001,2.76414
203.141,2.75886
204,2.75473
205.001,2.75042
206,2.74627
207,2.7419
208,2.73707
209,2.73311
210.001,2.72831
211,2.72273
212,2.7186
213,2.7136
214,2.70941
215.141,2.7043
216,2.70036
217.001,2.69556
218,2.69148
219,2.68667
220,2.68256
221,2.67851
222,2.67443
223,2.66938
224,2.66548
225,2.66089
226,2.65627
227.141,2.65002
228,2.64749
229,2.64275
230,2.63689
231,2.6332
232,2.62785
233.001,2.62454
234,2.61971
235,2.61555
236,2.61132
237,2.60722
238,2.60443
239.141,2.59903
240,2.59546
241,2.59172
242,2.58772
243,2.58341
244,2.57917
245.001,2.57609
246,2.57149
247,2.56816
248,2.5647
249.001,2.56084
250,2.55711
251.14,2.55247
252,2.54951
253,2.54466
254,2.54091
255.001,2.53741
256,2.53353
257,2.52953
257.999,2.52569
259,2.52221
260,2.51807
261,2.51442
262.001,2.51055
263.141,2.50641
263.999,2.50258
265,2.49913
