t (s),V (mV)
253.962,4.09806
254.963,4.09378
255.963,4.0881
256.962,4.08305
257.962,4.07846
258.962,4.07386
259.963,4.06866
261.102,4.06396
261.962,4.05944
262.962,4.05433
263.962,4.05001
264.962,4.04454
265.962,4.0394
266.962,4.03438
267.962,4.02944
268.962,4.02444
269.962,4.01982
270.962,4.01474
271.962,4.00997
273.101,4.00387
273.962,3.999
274.962,3.99447
275.963,3.99013
276.962,3.9842
277.962,3.98009
278.962,3.97624
279.963,3.97057
280.962,3.96785
281.962,3.96381
282.962,3.95923
283.962,3.95463
285.101,3.94869
285.962,3.94517
286.962,3.94187
287.963,3.93554
288.962,3.93067
289.962,3.92608
290.962,3.922
291.963,3.91653
292.963,3.91272
293.962,3.90849
294.962,3.90418
295.962,3.89964
297.101,3.8939
297.962,3.89085
298.962,3.88675
299.963,3.88105
300.962,3.87778
301.962,3.87456
302.962,3.86863
303.963,3.86452
304.962,3.85875
305.962,3.85328
306.962,3.84821
307.962,3.84299
309.101,3.83692
309.962,3.83276
310.962,3.82867
311.963,3.82368
312.962,3.81972
313.962,3.81555
314.962,3.81156
315.962,3.80696
316.963,3.8023
317.962,3.79746
318.962,3.79228
319.962,3.78735
321.102,3.78271
321.962,3.77862
322.962,3.77386
323.962,3.76742
324.962,3.76374
325.962,3.75897
326.962,3.75414
327.962,3.74922
328.963,3.74569
329.963,3.74215
330.962,3.73907
331.962,3.73506
333.103,3.73
333.962,3.72631
334.962,3.72155
335.962,3.71674
336.962,3.71272
337.962,3.70805
338.962,3.7031
339.962,3.69974
340.962,3.69483
341.963,3.69059
342.962,3.68649
343.962,3.68231
345.102,3.67746
345.961,3.67326
346.962,3.66929
347.962,3.66521
348.961,3.66086
