t (s),V (mV)
0,5.50609
0.962,5.50308
1.962,5.49934
2.962,5.4955
3.963,5.49108
4.962,5.48594
5.962,5.48194
6.963,5.47702
7.962,5.47216
9.102,5.46589
9.962,5.46182
10.962,5.45639
11.963,5.45111
12.962,5.44563
13.962,5.43955
14.962,5.43466
15.962,5.42839
16.962,5.42242
17.962,5.41703
18.962,5.41098
19.963,5.40521
21.103,5.39818
21.962,5.39343
22.962,5.38766
23.962,5.38135
24.962,5.37518
25.962,5.36886
26.962,5.36276
27.962,5.35688
28.962,5.35027
29.963,5.34347
30.962,5.33751
31.962,5.3309
33.102,5.32409
33.963,5.31858
34.962,5.31195
35.962,5.30558
36.963,5.29866
37.962,5.29251
38.962,5.28661
39.962,5.27981
40.962,5.2735
41.963,5.26707
42.962,5.26095
43.962,5.25453
45.102,5.24717
45.962,5.24192
46.962,5.23536
47.962,5.22876
48.962,5.22278
49.962,5.21628
50.963,5.20968
51.962,5.20361
52.962,5.19748
53.962,5.19136
54.962,5.1843
55.962,5.17851
57.102,5.17137
57.963,5.16579
58.962,5.15964
59.962,5.15337
60.962,5.14701
61.962,5.14042
62.962,5.13463
63.963,5.12804
64.962,5.12165
65.962,5.11515
66.962,5.10847
67.962,5.10205
69.102,5.09501
69.962,5.08941
70.962,5.08288
71.962,5.07665
72.962,5.07061
73.963,5.064
74.962,5.05754
75.962,5.05138
76.963,5.04518
77.962,5.039
78.962,5.03391
79.963,5.02806
81.103,5.02118
81.962,5.01619
82.962,5.00971
83.962,5.00397
84.962,4.99809
85.962,4.99216
86.962,4.98647
87.962,4.98048
88.962,4.9745
89.962,4.96816
90.962,4.96253
91.962,4.95669
93.102,4.95031
93.963,4.94486
94.962,4.94017
95.962,4.93376
96.963,4.9282
97.962,4.92314
98.962,4.9177
99.962,4.91169
100.962,4.90559
101.962,4.89977
102.963,4.89421
103.962,4.88685
105.102,4.87957
105.962,4.87409
106.962,4.86838
107.962,4.86237
108.963,4.85625
109.962,4.85183
110.962,4.84619
111.962,4.83926
112.963,4.83363
113.962,4.82731
114.962,4.82149
115.963,4.81565
117.102,4.81008
117.962,4.80235
118.962,4.79753
119.962,4.79191
120.962,4.78697
121.962,4.78086
122.962,4.77936
123.962,4.77454
124.963,4.76838
125.962,4.76306
126.962,4.7568
127.962,4.75221
129.102,4.74534
129.962,4.74172
130.962,4.73586
131.962,4.72997
132.963,4.7247
133.962,4.71952
134.962,4.71417
135.962,4.7088
136.963,4.70304
137.962,4.69806
138.962,4.69321
139.962,4.68808
141.102,4.6812
141.962,4.67459
142.962,4.6696
143.962,4.66298
144.962,4.65823
145.963,4.65276
146.962,4.64767
147.962,4.64244
148.963,4.63734
149.962,4.63155
150.962,4.62575
151.963,4.62012
153.103,4.61318
153.962,4.60875
154.962,4.60279
155.962,4.59631
156.962,4.59091
157.963,4.58538
158.962,4.5791
159.962,4.57363
160.962,4.56892
161.962,4.56337
162.962,4.55796
163.962,4.55552
165.102,4.54979
165.962,4.54488
166.962,4.53951
167.962,4.53522
168.963,4.52928
169.962,4.5239
170.962,4.51754
171.962,4.51374
172.962,4.50709
173.962,4.50291
174.962,4.49776
175.963,4.49249
177.102,4.48729
177.962,4.48322
178.962,4.47722
179.962,4.47295
180.962,4.46886
181.963,4.46247
182.962,4.45771
183.962,4.45241
184.962,4.44579
185.963,4.4413
186.962,4.43528
187.962,4.43067
189.102,4.42458
189.962,4.42131
190.963,4.41545
191.962,4.41065
192.962,4.40623
193.962,4.40164
194.963,4.39648
195.962,4.39189
196.962,4.38659
197.962,4.38104
198.963,4.37619
199.962,4.3709
201.102,4.36469
201.962,4.36038
202.963,4.35568
203.962,4.35067
204.962,4.34502
205.962,4.33992
206.963,4.33482
207.962,4.32913
208.962,4.32348
209.962,4.31792
210.963,4.31173
211.962,4.30745
213.102,4.30126
213.962,4.2971
214.963,4.29148
215.962,4.28683
216.962,4.28122
217.962,4.27824
218.963,4.27187
219.962,4.26831
220.962,4.26303
221.962,4.25765
222.963,4.25274
223.962,4.24778
225.102,4.24128
225.962,4.23749
226.963,4.23266
227.962,4.22681
228.961,4.22158
229.962,4.21387
230.962,4.21128
231.962,4.20674
232.963,4.20129
233.962,4.19732
234.962,4.19259
235.962,4.18787
237.102,4.18201
237.962,4.17829
238.963,4.17325
239.962,4.1678
240.962,4.16288
241.962,4.15847
242.963,4.15363
243.962,4.14842
244.962,4.14352
245.962,4.13846
246.963,4.13362
247.962,4.1288
249.102,4.12278
249.962,4.11887
250.963,4.11381
251.962,4.10916
252.962,4.10316
